conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:6495_conv:12990,3,devastated,I just found out my wife of 10 years has been unfaithful to em.,59,I saw her with another man on a date. I am absolutely devastated. ,5|5|5_5|5|5,
hit:5625_conv:11250,1,jealous,Sometime I envy my coworkers because some of them have a better career than me.,7,Sometime I envy my coworkers because some of them have a better career than me.,5|5|5_5|5|5,
hit:985_conv:1971,1,grateful,I accidently left my purse in the shopping cart and drove off_comma_ when I returned someone had returned it to the store's lost and found. ,127,I have to shop after work and I can be really spacy_comma_ one time I left my purse in the shopping cart with all my cards and phone in it.,5|4|4_5|5|5,
hit:11352_conv:22705,2,embarrassed,I remember a time long ago when I was walking into a new job. The floor was wet_comma_ And I fell in front of everyone who was to be my new employees.,743,omg_comma_ did you hurt yourself bad,5|5|5_5|5|5,
hit:1667_conv:3335,4,impressed,I am really impressed that I am still able to teach my dog things at his age,4,Wow_comma_ you can teach an old dog new tricks.,5|5|5_5|5|5,
hit:12079_conv:24159,2,impressed,As a new manager at my job_comma_ I really like working there. It has lots of benefits.,119,That's cool. What kind of benefits,5|4|4_5|5|5,
hit:11419_conv:22838,2,nostalgic,I was cleaning out my attic and found all my childhood toys,420,Oh nice!  What kind of toys?,4|3|4_5|5|5,
hit:8400_conv:16800,4,grateful,My computer broke and I cant afford a new one right now. My friend gave me his old one for free. I am so thankful for that.,60,You will have to return the favor sometime. ,5|5|5_5|5|5,
hit:11167_conv:22334,3,faithful,I volunteer at a dog rescue.   we have a dog who was very petrified of us.  she would cry and cower if you approached her.  One day I sat down and held her and she let out a sigh and fell asleep in my arms.  I never felt such pride and believed in the process as much as I did then,352,She is the puppy who was scared of us.  She finally let go of her fear and let me hold her,5|5|5_5|5|5,
hit:5363_conv:10727,1,terrified,I woke up to a loud noise last night. Someone was trying to break in.,243,I woke up to a loud noise last night.,5|5|5_5|5|5,
hit:500_conv:1001,3,joyful,I was celebrating my sixth anniversary with my boyfriend. We were sitting on the beach around sunset_comma_ it was totally secluded and beautiful. My boyfriend proposed to me and I was so elated.,152,We met in high school when he moved in with a friend that was my neighbor. We became friends just goofing around on the bus and then we got jobs at a neighborhood diner together and messaging each other every night and then eventually we just started spending every single evening with each other since. ,5|5|5_5|5|5,
hit:7597_conv:15194,1,prepared,I have done lots of research for a job interview this week,196,I have a job interview next week. I've been doing lots of research.,5|5|5_4|5|5,
hit:4469_conv:8938,2,lonely,watched a really good love movie lately_comma_  reminds me of myself.,27,Real life doesnt have happ endings like that,5|5|5_5|5|5,
hit:4892_conv:9785,1,angry,Someone stole my phone yesterday! I can't stand people at my job!,99,Someone at work stole my phone yesterday! ,5|5|5_5|5|5,
hit:4024_conv:8049,1,terrified,I am going zip-lining in Colorado in a week.  There is only one problem  I am really scared of heights!,277,I am going zip-lining in Colorado in a week. There is only one problem I am really scared of heights!,5|5|5_5|5|5,
hit:7235_conv:14471,1,proud,I scored a perfect score on my final exam.,445,I just got my final exam grade back and I scored a perfect score!,5|5|5_5|5|5,
hit:5349_conv:10698,2,caring,I have recent.y become an animal activist. They are more than just animals and pets.,297,Very cool of you to take a stand on something you believe in.,5|5|5_5|5|5,
hit:7449_conv:14899,3,excited,When I won a hundred dollars on a scratch off ticket. I felt very lucky in that moment.,375,Yep on a scratch ticket_comma_ got 3 apples!,5|4|5_5|5|5,
hit:9749_conv:19499,2,anticipating,I am super excited for the upcoming super smash bros!,478,Hey me too! What are you looking forward to the most about it!,5|5|5_5|5|5,
hit:1981_conv:3962,1,disgusted,I was very hungry the other day so I ate some chocolates that were on the table_comma_ as I was unwrapping them I was so excited! But as soon as i put them in my mouth i was grossed out! There were ants inside!,248,Hey dude. I feel so grossed out right now.,5|5|5_5|5|5,
hit:7278_conv:14557,2,lonely,my kids left and i felt all alone,64,That's terrible news. I hope they are in good hands. Are you okay?,5|5|5_5|5|5,
hit:3347_conv:6695,4,surprised,I am baffled about the USA economy.,155,Indeed. Many thought that way_comma_ but he actually delivered on his promises,5|4|4_4|5|5,
hit:2220_conv:4441,2,afraid,There is a wasp nest in my hallway outside of my apartment. I have to use the back door now.,11,What are you going to do about it? ,5|5|5_5|5|5,
hit:11539_conv:23078,5,confident,I was able to bench press more than my average weight the other day.,748,Nothing crazy....245. I feel like i can get much bigger though now.,4|5|5_5|5|5,
hit:10596_conv:21193,5,annoyed,I live on a rural property and part of my rent is making sure people don't trespass on the property to hunt. People keep trying to sneak onto the property and sometimes it keeps me up all night trying to kick them out.,302,Trust me the police are involved. They hate coming out because it's always the same thing. Sometimes the same guys too.,5|5|5_4|4|3,
hit:6854_conv:13708,4,afraid,i was scared to walk home alone yesterday,478,Oh man well wear silver. That can supposedly burn them and scare them away. ,5|5|5_5|5|5,
hit:11729_conv:23458,1,disappointed,I tried following a recipe for vegan cookies and they turned out horribly.,670,I tried following a recipe for vegan cookies and they turned out horribly.,5|5|5_5|5|5,
hit:3144_conv:6288,2,nostalgic,I miss old times when my grandma was with us.,267,I hear ya there.  When did you lose her,5|5|5_5|5|5,
hit:3729_conv:7458,3,apprehensive,I am a little scared. I found out my neighbor is a satan worshiper.,160,Well I am not christian_comma_ and in a way.. who am I to knock someone else for theirs,5|5|5_5|5|5,
hit:1428_conv:2856,4,hopeful,I got a new job. There's so much debt I want to clear off.,225,stabilize things first_comma_ then save regularly.,5|5|5_5|5|5,
hit:6980_conv:13961,1,afraid,i was scared walking home yesterday,238,i was scared to walk home yesterday,5|5|5_4|5|5,
hit:2905_conv:5810,3,annoyed,Someone cut me off in traffic the other day.,100,I was quite annoyed_comma_ especially because it was unnecessary too.,4|5|5_4|4|4,
hit:3958_conv:7917,2,grateful,family reunions,294,I think that you are absolutely right!  Thanksgiving is the best!  I love the food_comma_ and family.  Are your family coming to you_comma_ or are you going to the?,5|5|5_5|5|5,
hit:11696_conv:23393,5,caring,I love my cat. he is so sweet.,748,awww what color is he?,5|4|5_5|5|5,
hit:5975_conv:11951,2,angry,The other day my four year old smashed my favorite figurine. ,506,Oh no_comma_ did you get angry with him?,4|5|5_5|5|5,
hit:1053_conv:2106,1,jealous,I wish I was Dwayne Johnson.,4,I wish I was Dwayne Johnson.,5|5|5_5|5|5,
hit:1603_conv:3207,5,disappointed,I worked on this project for so long_comma_ but it turns out my job doesn't even want it done anymore.,1,Man_comma_ that would be awesome!,5|5|5_5|5|5,
hit:2524_conv:5049,4,sentimental,Got a gift from a friend from Brazil,4,Do you stay in touch?,5|5|5_5|5|5,
hit:3860_conv:7721,3,prepared,I've been planning this vacation for a while. Think I've got everything covered for a good time.,1,Going to Las Vegas!,5|5|5_5|5|5,
hit:6625_conv:13250,1,terrified,With Turkish currency Lira plummeting now_comma_ I am afraid the economic crisis in Turkey would spill to European markets too,155,Seeing Turkish currency lira plummeting now_comma_ I am afraid the economic crisis in Turkey would spill into European markets,4|5|5_5|5|5,
hit:11904_conv:23809,3,impressed,i saw a guy lie his way through taking a test,63,i aint no snitch? Its not my life why be a loser and ruin theirs,3|2|2_5|5|5,
hit:9054_conv:18109,3,anxious,i cant wait until next week,238,the kids go back to school,5|5|5_3|4|5,
hit:3553_conv:7106,4,trusting,I am trusting of my girlfriend_comma_ we have been dating almost 3 years not,52,i agree! I've been married for 5 years and i can't imagine being with anyone else but my wife,5|5|5_5|5|5,
hit:2384_conv:4769,3,jealous,I hate the fact that everyone in my neighborhood drives a nicer car than me. When will it be my time to shine?,262,Very much so. It's petty but I can't afford a new car. I feel out of pplace lol,5|5|5_5|5|5,
hit:7143_conv:14287,3,proud,I bought my very first videogame with my own money,516,I got God Of War,5|5|5_5|5|5,
hit:1517_conv:3034,3,sad,My wife left me last year.,9,No one knows and she will not tell me.,5|5|5_4|4|4,
hit:11378_conv:22757,2,joyful,I just bought a new puppy and super stoked about it!,675,hey_comma_ that sounds wonderful. a puppy?,5|5|5_5|5|5,
hit:6784_conv:13568,3,prepared,Every hurricane season I make sure to stock up on water and the essentials just in case. ,356,I've been through quite a few. I live in Miami.,5|5|5_5|5|5,
hit:11007_conv:22015,5,impressed,My daughter won an award at her school for best artist. I was so happy for her. ,410,She's in grade 12_comma_ not sure if she'll persue it in university. ,5|5|5_5|5|5,
hit:1063_conv:2126,3,excited,I get to visit my long distance girlfriend in less than a week!,273,Yeah_comma_ no kidding. I love traveling_comma_ and obviously love seeing her. Gonna suck that it only lasts a couple weeks though.,4|4|4_4|4|5,
hit:10472_conv:20945,2,devastated,Last year my grandmother passed away. It's still hard to cope with.,104,Oh_comma_ I'm sorry to hear that. Losing a family member is so hard.,5|5|5_5|5|5,
hit:6707_conv:13414,2,hopeful,I just went on a job interview. I feel like it went really well.,375,What job did you interview for?,5|5|5_4|4|5,
hit:8052_conv:16104,1,devastated,Someone close to me passed away recently in a freak car accident. He was young and doing great academically. It hurts so much.,286,A first cousin of mine who was on his way to obtaining his PHD was suddenly killed in a car accident caused by someone who was driving recklessly. It hurts my heart so deeply.,5|5|4_5|5|5,
hit:10235_conv:20471,1,caring,We saw a driver throw out a little kitten out of a window We picked up the kitten and brought him home. He's been out pet since then and is a great cat.,684,Long time ago_comma_ we saw a driver throw a kitten out of his car window. We picked him up and brought him home.,4|5|5_5|5|5,
hit:9270_conv:18541,4,proud,I'm happy with my cooking skills_comma_ I make great pasta,43,you are so skillful!! you should start your own brand!!,5|5|5_4|4|4,
hit:786_conv:1573,1,ashamed,I haven't made a home cooked meal in a while. We've been doing fast food every day.,27,I have been ordering out for the past two weeks.,5|5|5_5|5|5,
hit:1752_conv:3505,2,excited,There is a concert coming to town and I can hardly wait to see it.,262,Whos playing?,5|5|5_5|5|5,
hit:12416_conv:24833,4,joyful,I went to Disney with my family is was great!,481,California is fun to visit as well! Glad you all had fun.,4|3|4_5|5|5,
hit:5382_conv:10764,4,confident,I'm very pleased with both of my daughters' academic performance.,506,That is awesome_comma_ I am sure it makes you happy,5|5|5_5|5|5,
hit:11700_conv:23400,1,sentimental, I found my grandfathers old watch he passed along to me years ago. It finally fits me and I think I will start wearing it for luck.,297, I found my grandfathers old watch he passed along to me years ago. It finally fits me and I think I will start wearing it for luck.,5|5|5_5|5|5,
hit:9473_conv:18947,2,afraid,In a way I'm scared to show love or get close in a relationship.  I mistook pity and infatuation for love and ended up being miserable.  Am I gonna let that happen again? Hell no,13,Oh that's terrible. I wouldn't shut it all out though_comma_ you could miss out on someone great.,5|5|5_5|5|5,
hit:3880_conv:7761,2,proud,My wife is going to med school. I think it's really great she is able do such and awesome feat!,1,Congratulations to her! You must be so proud!,4|5|3_5|5|5,
hit:6630_conv:13261,4,disappointed,It has not been so hot this summer_comma_ i wanted real hot weather to go to the beach,317,Oh wow! That is surprising,5|5|5_4|4|4,
hit:3954_conv:7909,3,surprised,I was a little shocked when my brother paid for a vacation for my birthday. It was so nice,126,He had the money for it I guess,3|4|4_5|5|5,
hit:10195_conv:20390,4,anticipating,We are temporarily moving soon. I'm so excited!,650,No_comma_ but i hope things work out for you in this new part of your life.,5|5|5_4|4|5,
hit:10772_conv:21545,5,jealous,my best friend won the lottery and just got a bunch of money_comma_ and I didn't!,563,to make me mad_comma_ yeah! he better give me a bunch of it,5|5|5_1|5|5,
hit:7733_conv:15467,3,grateful,I had a baby. I was so happy and joyful that I had been given this blessing. ,409,I have five kids!,5|5|5_5|5|5,
hit:1557_conv:3115,4,guilty,I told my kids that there were no sweets when there were.,225,oh_comma_ that's a cute one.,5|5|5_5|5|5,
hit:2439_conv:4879,4,confident,I have been working really hard in school. I have a test coming up and I am pretty sure I will ace it.,27,That's really good. What class is it?,5|5|5_5|5|5,
hit:1885_conv:3770,4,surprised,My birthday was a few days ago and my friends planned a party for me. I had no idea!,288,Hahaha We take those things for granted! Happy belated birthday!,5|5|5_5|5|5,
hit:1434_conv:2868,1,surprised,I can't believe my son is being so stubborn about the potty. My girl was much easier.,262,My son just refuses to use the potty!,5|5|5_5|5|5,
hit:2018_conv:4036,1,impressed,I was kayaking with friends over the 4th of July holiday. The river was very fast due to recent rains. My friend managed to make it through the rapids very smoothly without any trouble at all_comma_ to a degree which was very surprising.,362,Hi there. Did you do anything fun for the 4th of July? I went kayaking and hit some pretty heavy rapids. I had trouble with them_comma_ but the friend I was with did not.,4|5|5_5|5|5,<HI>
hit:5036_conv:10072,1,excited,I can't wait for this weekend because I will finally get to go to the water park.,332,I can't wait for the weekend!,5|5|5_4|4|4,
hit:11369_conv:22738,6,furious,I caught one of my good friends stealing from my parents house.,449,Good_comma_ he better not! Hopefully the anger will fade.,5|5|5_5|5|5,
hit:6289_conv:12578,5,angry,My landlord posted a curfew for our complex. Its pointless now the summer is over,27,especially on hot summer nights!,5|5|5_5|5|5,
hit:4985_conv:9970,3,impressed,Just bought a new car and I'm surprised at how well it drives.,286,I bought a 2019 Jeep Grand Cherokee! Thing is hella nice!,5|5|5_5|5|5,
hit:9139_conv:18279,3,sad,Gotta admit it hurt a lot to find out that my ex had moved on so quickly.  But looking back it probably wasn't meant to be...and now I'm living my best life really,119,I'm the best I've ever been actually...fully self-employed_comma_ eating well_comma_ in the company of great friends...it's like life's starting to cut me some slack,5|5|5_5|5|5,
hit:5755_conv:11510,1,anxious,I can not wait for my best friend to visit from Germany.,4,I can not wait for my best friend to visit from Germany.,5|5|5_5|5|5,
hit:11811_conv:23623,1,impressed,I saw a man eat a 3 foot sub sandwich.  It was very inspiring to me.,322,I saw a man eat a 3 foot sub sandwich.,5|5|5_5|5|5,
hit:4374_conv:8749,4,confident,My friends have been practicing for weeks. I think they'll do well at the volleyball match.,445,Oh wow_comma_  I hope they do well.  ,5|5|5_5|5|5,
hit:2610_conv:5221,3,confident,I recently went to the eye doctor. And I had to take an eye exam. It went very well. ,366,I thought that maybe I needed new eyeglasses_comma_ but it turns out that everything was fine and I can see well.,4|4|4_3|4|3,
hit:10345_conv:20691,3,apprehensive,I was about to deliver the biggest presentation of my life. It was going to be in front of 4000 people_comma_ and I was extremely nervous. I'd never done this before.,704,I was delivering a presentation on leadership behaviours.,4|5|5_5|5|5,
hit:10497_conv:20995,3,embarrassed,I tripped over a branch walking to a restaurant_comma_ and looked like an idiot in front of a sizable group of people.,35,Only my pride_comma_ I fell right on my backside and made a ridiculous noise.,5|5|5_4|4|4,
hit:4801_conv:9602,3,annoyed,My boyfriend kept me up all night playing video games. ,99,It's really inconsiderate. Gets on my nerves.,5|5|5_5|5|5,
hit:6167_conv:12334,4,afraid,Last week_comma_ when I was going to the office_comma_ I stopped by a cafe to get a coffee. There I saw a young man watching angrily at me. He even has a gun in his hands. I was very much frightened.,126,That is very scary,5|3|5_4|4|5,
hit:1716_conv:3433,2,furious,Today I came home to find that my dog ripped all our pillows into shreds! I was so angry that I had to punish my dog.,322,That's terrible! How did you punish your dog?,4|5|5_5|5|5,
hit:2766_conv:5532,1,annoyed,I was going to order a pair of converse for my daughter for school. I put them in my cart and the next day they were sold out!,27,I had picked out some school shoes for my daughter the other day and was waiting for my check to hit the bank so that I could order them.,5|5|5_5|5|5,
hit:3141_conv:6283,6,jealous,I hate when people get new things when they come out and I have to save up,296,I understand! What are you going to school for?,5|5|5_5|5|5,
hit:2116_conv:4232,1,lonely,Once all my family went to town without me for the whole day. I felt so alone and sad until they got back.,342,Last week I felt so abandoned when my family went to town all day without me.,5|5|5_5|5|5,
hit:10281_conv:20563,2,jealous,I saw my boyfriend with another girl yesterday and they were sitting shoulder to shoulder next to each other! ,599,I hope that nothing came of it though.,5|5|5_5|5|5,
hit:320_conv:640,1,excited,When i was younger i wanted a new computer so bad. I didn't have good parts and the computer was so slow. When i got the new computer i was ecstatic. ,68,You know when you get some new gadget and it just blows your mind?,5|5|5_4|5|5,
hit:1784_conv:3569,1,angry,My flight was cancelled ,25,Had a board meeting  to attend _comma_yet at the last hour_comma_ after delay _comma_it was cancelled ,3|4|4_2|3|4,
hit:816_conv:1632,2,guilty,So I was at a friends house and our kids were running around playing games. While chasing eachother my small child bumped into a vase that fell over and broke! My friend was so understanding but I still felt really bad! I helped clean it up with her. ,231,if they have kids I'm sure they understand. Sometimes you just can't have nice things.,5|5|5_5|5|5,
hit:10824_conv:21649,1,furious,My wife used our credit cards to buy expensive things we didn't need one time too many. I was so furious with her about it.,766,MY wife racked up a lot of debt on our credit cards which put us in a lot of debt. I am furious with her.,1|2|5_3|3|2,
hit:1031_conv:2062,2,impressed,My brother graduated college and has already gotten a job_comma_ I feel pretty happy for  him,11,thats amazing.. im happy for him too.. i bet you are proud ,4|4|4_5|5|5,
hit:9824_conv:19649,4,disgusted,At work_comma_ there is a coworker that smell terribly bad. I can't breath.,375,You should tell him he will like you for it.,1|1|1_5|4|4,
hit:8731_conv:17462,1,hopeful,I want to do well in my next exams,247,I want to do well in my next exams_comma_ I want to get my certification,5|5|5_4|4|5,
hit:7458_conv:14916,2,prepared,The zombie apocalypse is coming soon. I have a bunker set up in my back yard.,375,I'm not prepared.,5|5|5_5|5|4,
hit:6057_conv:12115,3,caring,I love helping out my mom when she's sick.,220,Yeah_comma_ it's the least I can do. She literally wiped my butt once upon a time.,5|5|5_4|5|5,
hit:12121_conv:24242,3,ashamed,When I was a little kid I almost drowned in front of 100 people.  I was more embarrassed than scared to be honest,119,It was big shame haha but I took swimming lessons after and ended up on the swim team...so it worked itself out,5|5|5_5|5|5,
hit:4342_conv:8685,2,sentimental,I saw some old pics on FB of my dog who is passed and my niece. It was hard to see but they were good memories.,4,Did you cry when you were looking at the photos?,5|5|5_5|5|5,
hit:8992_conv:17984,4,guilty,I always complain and treat my husband like crap_comma_ I need to change.,644,I know_comma_ and I know it can be really hard to deal with that guilt. You want to solve the problem though_comma_ and that's still worth something. Being able to take the little victories will go a long way toward the goal you want in terms of how you treat your husband.,5|5|5_5|5|5,
hit:8926_conv:17852,4,hopeful,I just moved to a new city. i am looking forward to having a new start. ,343,That takes a lot of courage. I'm proud of you! I moved last year and it's both fun and scary at the same time,4|5|5_5|5|5,
hit:11751_conv:23502,1,terrified,My boyfriend thought it would be funny to stand behind my door and scare me. I shrieked. ,670,My boyfriend thought it would be funny to stand behind my door and scare me. I shrieked.,3|4|5_5|5|5,
hit:11733_conv:23466,2,devastated,My flight got cancelled and I missed my son's birthday.,748,Aw man. I'm sorry. How old did he turn?,5|5|5_5|5|5,
hit:9209_conv:18418,3,annoyed,My dog pooped on the rug today. I was so peeved.,209,It took quite awhile. I was so peeved!,5|5|5_5|5|5,
hit:530_conv:1061,2,disappointed,I saw a mother spanked her 4 years old son so hard that he felt on his face ,158,Was it someone you saw in public?,4|4|4_5|5|5,
hit:10162_conv:20324,3,faithful,You can believe in your friend,181,Is not an easy task but we can try,4|4|4_5|4|5,
hit:10696_conv:21392,2,ashamed,I had to attend a meeting on my job performance.,750,Wow_comma_ hope it wasn't serious.,5|5|5_5|4|4,
hit:5809_conv:11618,4,apprehensive,Last month_comma_ I had to give a presentation at a big research convention. I was really nervous!,326,Of course it was_comma_ but next time you'll handle it better.,3|4|4_5|5|5,
hit:9776_conv:19553,2,lonely,I was across the country on a work trip and had no one to hang out with for a week.  I felt isolated,389,You could have gone to a bar and found some friends ,5|5|5_5|5|5,
hit:473_conv:946,6,trusting,I dropped money on the ground in public.  A kind and honest stranger saw me drop it and returned the money to me.  I trusted that person after that.,152,Oh that's great! That's really nice of you. ,5|5|5_5|5|5,
hit:3137_conv:6275,1,sad,I am super sad that people do not want to change their destructive behaviors. It's very sad especially when you know someone was abused for so long and they just keep ruining their lives. Almost like they are continuing the abuse on themselves.,296,I am super sad that people I've known and cared for do not want to change their destructive behaviors. I,4|5|5_5|5|5,
hit:10326_conv:20652,3,faithful,A dog's faithfulness is amazing. I am faithful to my dog as it is faithful to me.,204,My dog's name is Blu. She's an American Bulldog and close to 100 pounds.,5|5|5_3|4|5,
hit:9365_conv:18731,4,grateful,My mom is always cooking meals and inviting me over to her home to eat even after I've been married and already moved out. It's such a nice gesture and makes me feel great.,4,Maybe you should cook for her one night.,4|5|5_5|5|5,
hit:12354_conv:24709,3,confident,Sometimes I have to remind my self that I am being level headed while raising my kids because there really are times that I am positive I am messing everything up,852,Oh for sure_comma_ parenting is no joke. ,5|5|5_5|5|5,
hit:5487_conv:10974,2,nostalgic,I love when fb shows me my memories. I log on just for that.,90,That's my favorite part of facebook!  Especially when I see old pics of my kids.,5|5|5_5|5|5,
hit:1843_conv:3686,1,afraid,of dying ,11,I am terrified of death. ,5|5|5_5|5|5,
hit:6771_conv:13542,4,confident,When I got dressed up to go out on the night_comma_ I used some new hair product.,247,That's great! I like to go dancing too,5|5|5_5|5|5,
hit:11881_conv:23763,3,hopeful,for the next few weeks,706,i am ! and i am looking forward to it!,5|5|5_5|5|5,
hit:5467_conv:10934,2,lonely,I have been traveling a for a while now. The last week I have been missing my friends back at home though.,244,I still think you made the right choice by going.,3|4|4_5|5|5,
hit:10885_conv:21771,4,faithful,My family is going through a tough time dealing with the loss of my grandmother. We've been using the strength that she left for us to get along and support eachother.,248,you're gonna be okay. It's been five years since I've lost mine. Just keep her close to your heart.,5|5|5_5|5|5,
hit:5737_conv:11475,5,jealous,I am jealous when I see how much my colleague earns. He seems to do less work than me but earns way more money!,196,Absolutely! That would be amazing.,5|5|5_5|5|5,
hit:4560_conv:9120,3,lonely,Back in senior year of high school_comma_ my brother went to college and my mom worked a lot so I was the only one in the house a lot. It was a pretty sad time.,55,Without a doubt. I was the only one in the house half the time.,5|5|5_5|5|5,
hit:8436_conv:16872,5,joyful,I am so happy my lease is almost up on this apartment. I am going to move into something bigger and better,27,I have only been looking. Nothing in my price range yet,5|5|5_5|5|5,
hit:8000_conv:16001,1,nostalgic,We drove by our old house today.  It brought back a lot fun memories from when we lived there.,525,We drove by our old house today.,5|5|5_5|5|5,
hit:3663_conv:7327,1,anxious,I drank all the coffee this morning and didn't share the whole pot with anyone. Now I feel very strange.,291,Do you like to drink the coffee drinks?,4|5|5_4|4|3,
hit:11889_conv:23779,3,embarrassed,I didn't have enough money to pay for my groceries and had to put something back. There were a lot of people in line.,548,I was mortified. I probably could have started a fire with just the color of my face.,4|4|4_5|5|5,
hit:2638_conv:5277,4,anticipating,I am looking forward to an anniversary party for my parents. They have been together for many years.,160,Yes it is.. thats great that their love has lasted so long.,5|5|5_5|5|5,
hit:9162_conv:18324,3,sad,I just lost my grandfather a month ago.,294,I was very close to him.  He was my favorite grandparent and I really miss him.,5|5|5_5|5|5,
hit:1801_conv:3603,3,furious,I trusted my coworker to get the report printed by the deadline by he did not.,59,yes and its all my coworkers fault. ,5|5|5_5|5|5,
hit:8416_conv:16832,3,trusting,i shouldnt have trusted my brother with my dog,238,he left the gate open and my dog ran away,5|5|5_4|5|4,
hit:12350_conv:24700,1,angry,I am mad at my brother because he broke my bike. He always want to use my stuff and break it.,7,I am mad at my brother because he broke my bike. He always want to use my stuff and he ends up breaking it.,5|5|5_5|5|5,
hit:2353_conv:4706,4,sad,I was sad before I met my girlfriend_comma_ I did nothing interesting,60,Sorry to hear that. How did you meet your lady friend?,5|5|5_5|4|5,
hit:1727_conv:3454,3,annoyed,I was a little put off when I was passed over for the promotion,267,No just the usual responses that don't offer useful feedback,5|5|5_5|5|5,
hit:2208_conv:4417,5,proud,I hit my goal weight of 180lbs,244,It wasn't bad at all. and making all your own food saves money.,5|5|5_5|5|5,
hit:7204_conv:14409,2,proud,Why won't I feel good about my son's accomplishments?,449,Do you have certain expectations for your son?,5|5|5_3|2|5,
hit:1930_conv:3860,3,angry,when my neighbors wouldnt stop their dog from barking and it bit me ,11,Seriously! Tell me about it.. im not mad at the dog im mad at them! poor thing. even in the rain!,5|5|5_5|5|5,
hit:7042_conv:14085,1,caring,When I had to take care of my sick brother who had the flu_comma_ during this time I had to watch over him and make sure he was taking his medicine and take his temperature constantly.,581,When I had to take care of my sick brother who had the flu_comma_ during this time I had to watch over him and make sure he was taking his medicine and take his temperature constantly,5|5|5_4|4|4,
hit:7351_conv:14703,1,impressed,My mom went on a diet and lost 40lbs.,244,My mom went on a diet and lost 40lbs.,5|5|5_5|4|4,
hit:3836_conv:7673,3,sentimental,I was helping my mom repain the house_comma_ and it reminded me of when I used to ask her if I can help her paint when I was little.,1,No. Neither of us are artistic. It's normal painting of rooms.,5|5|5_5|5|5,
hit:4189_conv:8378,3,nostalgic,I get good feelings thinking about my childhood and all the friends I used to have,10,I used to play pokemon and football about every day_comma_ it was a great childhood,5|5|5_5|5|5,
hit:2889_conv:5778,2,anxious,The other day I got a strange message from a distant relative. It said they needed surgery but couldn't afford to pay for a doctor. I was so worried.,274,Oh my goodness_comma_ that is terrible.  They don't have insurance?,5|5|5_5|5|5,
hit:9869_conv:19738,2,proud,I would like to try to make some mac and cheese with truffle oil one day,437,Cool_comma_ what's truffle oil got to do with mac and cheese?,5|5|5_5|5|5,
hit:3644_conv:7289,1,afraid,I saw the biggest spider in my life near my bed this morning. I've been scared of seeing another one all day...,269,I saw the biggest spider in my life near my bed this morning. I've been scared of seeing another one all day...,5|5|5_5|5|5,
hit:12409_conv:24819,2,guilty,I had stolen a few candies from the jar in the store. I had to tell my mom after.,437,Woah_comma_ hope she doesn't report you! Jk,4|5|5_5|5|5,
hit:781_conv:1563,1,disgusted,MY neighbors are akways leaving trash on our stairwell.,27,I have the worst neighbors.,5|5|5_5|5|5,
hit:1811_conv:3623,5,prepared,I felt I had the experience and personality to do well in an interview for a job I had applied for,338,Thanks_comma_ it was a big relief because I had a job I did not like very much.,4|5|5_3|3|5,
hit:3086_conv:6172,1,excited,Bumped into this girl I used to have a crush on in High School.,1,Bumped into this girl I used to have a crush on in High School.,5|5|5_5|5|5,
hit:5092_conv:10185,3,surprised,I play the lotto regularly and finally won a small amount the other night much to my shock.,332,Yeah it's really demoralizing until you at least win something. A nice little bonus anyway. ,5|5|5_5|5|5,
hit:12206_conv:24413,1,proud,I helped tutor my nephew in algebra. He ended up passing with an A. That made me very happy.,297,I helped tutor my nephew in algebra. He ended up passing with an A. That made me very happy.,5|5|5_5|5|5,
hit:9136_conv:18273,4,nostalgic,I remember when people said hello and thank you.  Those were the days.,126,I do miss that as well_comma_ maybe it will come back,5|5|5_5|4|4,
hit:6667_conv:13335,4,prepared,I always like to be ready before going on a trip.,422,So true. I hate it when that happens.,5|5|5_4|5|5,
hit:6423_conv:12847,2,grateful,Without my karate classes i would get beat up every day.,117,What kind of classes have you taken?,5|5|5_5|5|5,
hit:3882_conv:7765,4,proud,My son worked really hard on his project. He won second place in the science fair!,445,That is amazing.  Maybe one day it will be more that just a science fair project.,5|5|5_5|5|5,
hit:4763_conv:9527,4,jealous, it is always discouraging that you dont get what you deserve.. am i right,310,I can understand that.  Hopefully everything works out in the end though.,4|4|4_5|5|4,
hit:8460_conv:16920,4,disgusted,I got a job as a pooper scooper.,238,hah.. you get used to it.,5|5|5_5|5|5,
hit:12289_conv:24578,3,trusting,I feel on top of the world when I have my kitty Trinity snuggled in my lap.  I never have to worry about her scratching me!,669,Cats will make you love animals!   They can be so affectionate.  ,5|5|5_4|5|5,
hit:1476_conv:2953,1,grateful,Even though I'm not rich yet I wake up every day with gratitude in living life on my own terms,119,Though I've got a long ways to go I'm waking up everyday with gratitude in living life how I want_comma_ answering to nobody.  It's pretty awesome,5|5|5_5|5|5,
hit:1025_conv:2051,3,disappointed,I was disappointed when I saw how much the Eagles tickets cost for their opener_comma_ I really wanted to go,10,about 350_comma_ and I wanted to bring my girlfriend_comma_ so all in all about 740 with fees,5|5|5_5|5|5,
hit:6290_conv:12580,1,angry,it makes me very unhappy when i let someone out in traffic and they dont acknowledge me,524,it makes me angry when i let someone out in traffic without being acknowleded,5|5|5_5|5|5,
hit:7768_conv:15536,3,hopeful,I submitted a proposal to an agent. I really wanted her to like my work and take me as a client. ,409,This was in the past. She loved it!,5|5|5_5|5|5,
